energy zenith azimuth antennas alpha Xmax srad muons target
3.15723e+17 43.6214 182.8 16 67.9961 648.746 707587 0.634266 1
4.07494e+17 46.3245 175.886 9 64.8053 601.636 1.31587e+06 0.801419 1
3.39737e+17 44.2968 233.136 22 87.1063 677.097 800117 0.546204 1
3.01457e+17 42.3046 230.939 8 89.8423 615.881 653974 0.766777 1
1.98543e+17 27.4638 270.712 7 81.4779 578.199 167394 0.309927 1
2.31961e+17 41.4102 278.342 7 85.6425 626.395 492361 0.506806 1
6.86471e+17 54.1441 3.3374 6 65.7452 646.199 3.09124e+06 1.01706 1
2.2802e+17 42.9443 280.616 12 82.9284 603.099 356452 0.467808 1
4.80028e+17 43.1768 27.727 15 45.3847 606.404 1.14519e+06 0.80312 1
2.09956e+17 44.4084 246.384 16 82.8938 582.095 279491 0.423609 1
5.67556e+17 43.1829 347.964 24 70.6902 645.484 2.2901e+06 1.22862 1
8.67802e+17 48.8938 133.931 8 36.1871 631.889 2.45654e+06 1.33465 1
6.06279e+17 49.3553 162.529 8 56.984 617.601 2.88607e+06 1.16424 1
1.12324e+18 40.6112 342.768 6 71.6176 636.651 9.82281e+06 1.83944 1
5.88324e+17 50.6858 271.837 9 75.4735 656.255 3.01562e+06 0.915987 1
7.73262e+17 50.0174 146.562 6 45.8075 646.531 3.46952e+06 1.48423 1
1.0079e+18 49.2382 264.567 25 76.4156 700.441 8.0402e+06 1.68661 1
6.21988e+17 54.6989 265.399 12 71.4511 614.975 3.37709e+06 0.812753 1
8.31489e+17 46.9291 250.541 6 80.7961 606.598 6.23579e+06 1.27224 1
2.08251e+17 47.1886 239.98 16 81.9964 672.007 243059 0.466215 1
2.61985e+17 42.6816 276.565 20 83.0443 601.813 568965 0.583317 1
3.18137e+17 44.0923 301.515 20 86.8773 596.711 674974 0.766059 1
7.27511e+17 44.7704 248.35 7 83.2629 661.239 4.20285e+06 1.09335 1
6.33488e+17 45.8795 340.671 8 76.1677 634.203 3.23229e+06 1.19745 1
1.68633e+18 38.1976 40.043 7 37.0452 633.844 8.49722e+06 2.3826 1
2.69843e+17 41.0497 178.668 10 64.8506 566.976 376422 0.570212 1
1.28137e+17 29.8176 318.397 8 75.6492 591.485 181388 0.299652 1
7.4626e+17 52.7579 173.704 7 66.35 644.46 4.38009e+06 1.363 1
3.57087e+17 44.4936 14.039 6 54.9088 677.639 814526 0.634426 1
6.59221e+17 39.1817 326.088 6 79.0822 606.036 3.46046e+06 1.16887 1
2.70228e+17 46.4014 16.039 9 53.9131 681.704 412242 0.570616 1
1.5348e+18 44.0543 359.053 8 64.2333 673.034 1.80382e+07 2.41487 1
2.13869e+17 48.5979 221.701 21 87.7404 628.44 353854 0.316472 1
5.20349e+17 51.7445 243.281 10 77.6141 631.247 2.37087e+06 0.933619 1
3.34166e+17 44.2343 292.954 25 84.3638 597.268 891718 0.644334 1
3.98672e+17 46.6499 197.508 9 77.7867 642.659 1.44881e+06 0.680655 1
9.87837e+17 54.5712 357.981 9 69.6615 651.848 7.29107e+06 1.40665 1
2.63788e+17 48.3994 340.284 6 78.3125 625.91 529733 0.474614 1
7.60244e+17 54.3891 218.33 5 85.1932 671.05 5.8736e+06 1.2557 1
3.66929e+17 47.0083 301.212 25 84.3792 609.874 1.07657e+06 0.702173 1
1.23439e+18 50.5202 0.812798 8 66.2166 652.468 1.1516e+07 1.85744 1
4.7575e+17 43.035 159.174 6 52.6905 603.275 1.35772e+06 0.890395 1
1.3639e+18 49.0057 345.357 9 74.988 652.113 1.61363e+07 2.02794 1
7.12391e+17 50.1161 181.006 5 70.0108 607.432 4.59722e+06 1.13558 1
3.115e+17 43.5735 194.789 8 75.8088 668.802 666989 0.615495 1
7.03284e+17 49.837 197.27 10 79.9274 586.699 4.9052e+06 1.06432 1
6.6119e+17 44.0822 295.396 7 85.3483 596.2 3.73409e+06 0.902134 1
4.66107e+17 53.2516 257.223 13 73.4817 611.903 1.80137e+06 0.710205 1
1.86781e+17 21.4219 221.781 7 70.6809 586.054 291587 0.337361 1
2.38451e+17 42.6115 237.333 12 86.8611 601.632 314252 0.376256 1
2.9741e+17 40.5363 331.396 8 77.9722 616.456 634838 0.643818 1
5.37815e+17 52.0576 193.845 7 79.3232 636.033 2.62628e+06 0.774599 1
4.77374e+17 54.153 169.632 23 64.5764 667.227 1.94664e+06 0.920792 1
3.19193e+17 52.3207 250.145 8 76.1678 618.631 759377 0.510701 1
5.5982e+17 54.5105 29.711 23 45.8851 632.118 1.82188e+06 1.17583 1
4.43178e+17 41.0802 254.1 17 85.2593 605.34 1.37432e+06 0.952615 1
6.95848e+17 49.4425 214.027 25 89.0762 600.922 4.77969e+06 1.21753 1
4.06296e+17 49.7024 221.392 7 87.4203 641.382 1.51927e+06 0.481472 1
4.82309e+17 50.2094 175.197 7 66.2094 629.118 1.67586e+06 0.958431 1
2.54609e+17 53.2674 311.114 14 83.1019 576.602 309758 0.493957 1
3.33303e+17 20.5824 315.291 6 69.6719 618.085 520016 0.538618 1
9.01066e+17 46.5127 283.047 5 79.9685 726.69 4.98549e+06 1.57703 1
4.36545e+17 53.1044 285.055 7 74.8003 591.716 1.91105e+06 0.622997 1
3.52642e+17 47.3349 324.489 5 86.0075 691.871 929084 0.623512 1
2.19832e+17 51.3689 282.701 24 75.7371 626.348 400100 0.445204 1
2.9206e+17 44.3333 175.098 6 63.958 580.692 669831 0.609548 1
3.02287e+17 47.6503 297.005 7 83.0969 596.787 819809 0.656942 1
2.70777e+17 16.0013 266.635 7 70.8643 601.819 402937 0.684552 1
2.45214e+17 28.702 268.607 15 83.4447 586.209 474236 0.536567 1
1.38618e+18 53.1974 273.899 10 72.6539 631.545 2.05774e+07 1.77021 1
1.91584e+17 41.5335 291.616 17 86.3862 571.787 336757 0.316806 1
2.01601e+17 12.337 242.063 5 65.3032 591.41 176841 0.307263 1
1.13568e+18 47.1478 231.088 7 85.7656 668.344 1.27533e+07 1.74352 1
2.64354e+17 43.0809 292.441 19 85.2644 606.121 544872 0.532376 1
3.9764e+17 47.72 271.253 8 78.3873 596.845 1.4196e+06 0.5157 1
1.1187e+18 48.1538 230.383 6 85.2847 682.668 1.08737e+07 1.6801 1
1.57367e+17 45.5412 257.961 8 80.9184 631.141 197874 0.327897 1
7.59902e+17 53.2607 44.049 6 35.0354 631.711 2.40203e+06 1.23309 1
2.83023e+17 24.7331 175.651 8 57.1196 617.368 444213 0.503222 1
4.94051e+17 40.5872 172.482 12 61.0121 637.259 1.60711e+06 0.660947 1
8.31017e+17 32.6043 155.486 5 48.7114 686.789 3.27824e+06 1.51605 1
2.95308e+17 48.8669 268.683 6 77.246 672.025 631420 0.649036 1
1.49858e+18 52.9285 308.507 9 82.5082 646.63 2.2655e+07 1.89394 1
2.99491e+17 48.4661 236.847 7 82.6415 626.727 767108 0.505309 1
3.83047e+17 51.4392 256.377 27 75.048 607.068 1.24595e+06 0.761455 1
5.07646e+17 45.9333 240.12 6 84.3244 596.74 2.52524e+06 0.933338 1
1.63977e+17 31.685 259.564 11 86.4207 621.851 202104 0.491136 1
4.93226e+17 46.4287 283.302 8 80.7996 641.375 2.16347e+06 0.887491 1
4.01744e+17 50.1814 217.688 9 88.9741 627.787 1.51958e+06 0.630026 1
4.81141e+17 47.3802 288.592 7 80.8994 631.727 2.14995e+06 0.757769 1
5.74781e+17 41.367 177.536 6 63.4667 644.349 2.40008e+06 0.991032 1
2.75936e+17 43.3211 291.712 6 85.4332 645.043 606156 0.81552 1
4.00869e+17 52.8316 315.57 34 85.38 607.046 1.51618e+06 0.508431 1
7.18997e+17 48.8747 202.777 14 83.5671 632.331 4.77262e+06 1.0719 1
4.63641e+17 54.8342 310.244 27 81.5034 657.978 2.1042e+06 0.622984 1
6.11601e+17 40.6307 285.853 7 86.9764 616.988 3.48703e+06 1.14687 1
5.43687e+17 53.6524 187.282 7 76.1678 658.055 2.73871e+06 0.940805 1
3.57857e+17 12.8472 237.535 5 65.4044 646.757 679917 0.815707 1
